Jalan	Gang	Perumahan_Blok_Komplek	Blok	RT	RW	Kelurahan	Kecamatan	Kota_Kab	Jumlah_Entri_Alamat_Sama
Karang Mulyo	Sudi Mampir			07		Karang Ambun	Tanjung Redeb	Kab. Berau	1
						Batuah	Loa Janan	Kab. Kutai Kartanegara	3
M. Hatta Handil 7						Muara Jawa Ilir	Muara Jawa	Kab. Kutai Kartanegara	2
A. Yani				12		Muara Jawa Pesisir	Muara Jawa	Kab. Kutai Kartanegara	7
M. Hatta						Muara Jawa Pesisir	Muara Jawa	Kab. Kutai Kartanegara	4
M. Hatta				20		Muara Jawa Pesisir	Muara Jawa	Kab. Kutai Kartanegara	1
M. Hatta				23		Muara Jawa Pesisir	Muara Jawa	Kab. Kutai Kartanegara	4
Tahir				06		Muara Jawa Pesisir	Muara Jawa	Kab. Kutai Kartanegara	2
Teluk Ladang	Taruna			32		Muara Jawa Pesisir	Muara Jawa	Kab. Kutai Kartanegara	3
				06		Muara Jawa Tengah	Muara Jawa	Kab. Kutai Kartanegara	5
A. Yani				07		Muara Jawa Ulu	Muara Jawa	Kab. Kutai Kartanegara	4
Inpres	Nauli			32		Muara Jawa Ulu	Muara Jawa	Kab. Kutai Kartanegara	5
Ir. Soekarno				14		Muara Jawa Ulu	Muara Jawa	Kab. Kutai Kartanegara	1
Ir. Soekarno				17		Muara Jawa Ulu	Muara Jawa	Kab. Kutai Kartanegara	4
Ir. Soekarno				19		Muara Jawa Ulu	Muara Jawa	Kab. Kutai Kartanegara	2
Ir. Soekarno				29		Muara Jawa Ulu	Muara Jawa	Kab. Kutai Kartanegara	5
Ir. Soekarno				40		Muara Jawa Ulu	Muara Jawa	Kab. Kutai Kartanegara	13
Jalur	Surya					Muara Jawa Ulu	Muara Jawa	Kab. Kutai Kartanegara	1
Jalur				11		Muara Jawa Ulu	Muara Jawa	Kab. Kutai Kartanegara	3
Jalur				34		Muara Jawa Ulu	Muara Jawa	Kab. Kutai Kartanegara	1
Jalur				36		Muara Jawa Ulu	Muara Jawa	Kab. Kutai Kartanegara	9
Jalur	Bersatu			37		Muara Jawa Ulu	Muara Jawa	Kab. Kutai Kartanegara	4
				04		Amborawang Darat	Samboja	Kab. Kutai Kartanegara	3
				06		Amborawang Darat	Samboja	Kab. Kutai Kartanegara	3
				04		Margomulyo	Samboja	Kab. Kutai Kartanegara	3
Balikpapan-samboja						Margomulyo	Samboja	Kab. Kutai Kartanegara	3
			F2	07		Kerta Bumi	Kuaro	Kab. Paser	6
				09		Krayan Sentosa	Long Ikis	Kab. Paser	3
Propinsi Km.. 3				27		Penajam	Penajam	Kab. Penajam Paser Utara	5
Solo Km.9 N0. 17						Maguwoharjo	Depok	Kabupaten Sleman	3
		Tata Bumi Regency 2				Banyuraden	Gamping	Kabupaten Sleman	3
Dahor II						Baru Ilir	Balikpapan Barat	Kota Balikpapan	1
Sepaku				02		Margasari	Balikpapan Barat	Kota Balikpapan	4
			L3			Damai	Balikpapan Kota	Kota Balikpapan	1
Jenderal Sudirman						Damai	Balikpapan Kota	Kota Balikpapan	3
Jenderal Sudirman		Balikpapan Permai	M			Damai	Balikpapan Kota	Kota Balikpapan	2
Jenderal. Sudirman						Damai	Balikpapan Kota	Kota Balikpapan	1
Mt. Haryono				12		Damai	Balikpapan Kota	Kota Balikpapan	1
Penggalang				33		Damai	Balikpapan Kota	Kota Balikpapan	1
Jenderal. Sudirman						Klandasan Ilir	Balikpapan Kota	Kota Balikpapan	1
Mayjend. Sutoyo				53		Klandasan Ilir	Balikpapan Kota	Kota Balikpapan	2
Jenderal Sudirman						Klandasan Ulu	Balikpapan Kota	Kota Balikpapan	5
Jenderal Sudirman			A			Klandasan Ulu	Balikpapan Kota	Kota Balikpapan	3
